id,name,description,created_at,updated_at
1,enroll,,2022-08-10 20:32:10.557488,2022-08-10 20:32:10.557488
2,waitlist,,2022-08-10 20:32:10.564572,2022-08-10 20:32:10.564572
3,promote,,2022-08-10 20:32:10.568360,2022-08-10 20:32:10.568360
4,user-cancel,,2022-08-10 20:32:10.571309,2022-08-10 20:32:10.571309
5,async-start,,2022-08-10 20:32:10.574370,2022-08-10 20:32:10.574370
6,async-complete,,2022-08-10 20:32:10.577880,2022-08-10 20:32:10.577880
7,instance-cancel,,2022-08-10 20:32:10.580907,2022-08-10 20:32:10.580907
8,attend,,2022-08-10 20:32:10.584132,2022-08-10 20:32:10.584132
9,absent,,2022-08-10 20:32:10.588268,2022-08-10 20:32:10.588268
10,rescheduled,,2022-10-04 15:02:11.222218,2022-10-04 15:02:11.222218
11,add-instructor,,2023-07-05 13:20:18.164656,2023-07-05 13:20:18.164656
