course_id,track_id,id
2,37,708
4,29,747
7,29,746
8,28,605
9,26,499
9,28,606
14,16,743
20,28,607
21,29,749
23,36,532
26,20,593
29,24,645
30,19,469
31,16,744
33,17,591
41,35,631
50,22,721
55,21,478
56,20,592
74,30,618
75,40,543
80,34,766
88,22,722
88,45,726
89,33,625
91,34,769
92,20,594
93,37,710
93,39,541
94,23,601
98,34,768
101,37,711
102,32,622
113,37,709
113,38,637
114,38,639
115,38,638
116,20,595
122,27,761
122,35,633
123,22,723
123,45,725
124,16,740
124,17,588
127,23,600
128,26,497
130,21,476
133,30,619
135,18,467
137,28,608
138,31,621
140,36,533
141,21,477
142,18,466
142,19,468
143,34,765
144,31,620
145,16,742
146,17,590
147,29,748
148,29,752
153,32,623
156,35,630
162,33,624
165,26,495
166,15,712
166,26,496
168,18,465
168,19,470
169,17,589
170,39,542
171,24,647
173,25,494
174,28,609
175,28,610
177,26,498
178,23,599
179,24,602
179,25,493
180,24,646
181,22,724
181,45,727
182,29,750
183,29,751
184,35,632
185,15,714
186,15,677
189,34,770
196,16,745
198,15,713
201,41,685
202,41,687
203,41,686
204,27,760
204,41,688
205,44,704
209,43,701
210,44,703
212,43,702
213,42,734
214,42,735
215,42,738
216,42,736
217,42,737
218,42,700
219,27,762
226,42,739
239,16,741
245,34,771
246,34,772
247,34,767
253,47,753
254,47,754
255,47,755
270,27,763
285,27,764
