instance_id,instructor_id
3,1
10,12
12,2
13,12
14,1
14,12
15,2
16,1
16,12
17,1
18,13
19,5
20,12
21,6
22,7
22,8
23,12
24,12
25,2
26,12
27,10
27,16
28,11
29,2
30,4
31,4
32,2
33,12
34,12
35,10
37,5
38,1
39,2
40,5
41,4
42,12
43,8
44,6
46,12
47,14
48,12
49,5
50,2
51,12
52,12
53,13
54,11
55,15
56,6
57,14
58,12
59,11
59,12
59,17
59,18
60,16
61,14
62,12
63,2
64,6
65,12
66,1
66,12
66,17
67,14
71,1
72,1
73,1
73,12
73,17
75,2
77,12
78,6
79,4
80,17
80,18
81,4
82,4
83,8
84,12
85,12
86,1
86,12
87,12
88,13
89,6
90,5
91,12
91,17
92,2
93,8
101,3
103,3
104,3
105,3
106,12
107,17
108,17
109,6
110,4
111,6
113,12
114,12
115,12
116,17
117,5
117,12
118,7
118,8
119,2
120,2
120,12
121,1
122,4
123,12
124,20
125,2
125,12
126,17
127,5
128,20
129,5
130,2
130,12
131,12
132,17
133,4
134,4
135,17
136,8
137,3
138,3
139,3
140,4
141,4
142,4
143,5
144,2
145,1
145,17
146,10
146,16
147,1
148,6
149,2
150,2
151,10
152,20
153,1
154,1
155,6
155,17
156,20
157,12
158,12
159,2
160,2
161,13
162,13
163,13
164,5
165,6
166,1
167,1
168,1
169,8
170,8
171,20
172,16
173,15
174,12
175,12
176,19
177,2
178,5
178,12
179,22
181,23
181,24
182,6
183,17
184,25
185,11
185,26
186,25
193,1
237,4
243,17
248,3
250,2
250,5
251,2
251,5
252,12
252,19
253,5
253,19
254,5
254,12
255,5
255,12
256,12
256,19
257,12
257,19
258,12
258,19
259,5
259,12
260,2
260,19
261,2
261,5
262,2
262,5
263,2
263,5
264,2
266,2
266,5
267,12
267,19
268,3
269,3
270,3
271,3
272,3
277,12
278,19
280,12
281,12
283,12
284,27
285,27
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,5
295,5
296,5
297,19
298,19
300,25
301,7
302,10
302,16
303,10
303,16
304,10
306,1
307,1
308,1
309,1
310,1
310,17
311,1
312,17
313,17
314,17
315,17
316,1
316,17
317,1
317,17
318,17
319,1
319,17
319,18
323,17
325,12
326,19
327,19
328,19
329,19
343,17
344,17
345,17
346,12
347,12
348,12
349,12
350,12
351,12
352,12
353,12
354,25
355,6
356,1
356,17
357,12
358,12
364,22
365,6
366,6
367,6
368,1
369,1
369,17
387,1
392,6
396,23
401,23
402,28
421,30
