Module Name,Type,Status,Hours,Date
Code+ Env Setup,Instructor-Led,attend,3.00,05/30/2023
Backing up and Sharing Code: Git,Instructor-Led,attend,3.00,05/31/2023
Linux &amp; the Bash Shell,Instructor-Led,enroll,3.00,Invalid date
Create a Website: Structure (Intro to HTML),Instructor-Led,attend,3.00,06/01/2023
Create a Website: Styling (Intro to CSS),Instructor-Led,absent,3.00,Invalid date
Create a Website: Interactivity with Javascript,Instructor-Led,attend,3.00,06/05/2023
Intro to Docker,Instructor-Led,attend,3.00,06/02/2023
How to Program with Ruby (combined),Instructor-Led,attend,3.00,06/08/2023
How to Program with Ruby (combined),Instructor-Led,attend,3.00,06/08/2023
The Rails Framework (Combined),Instructor-Led,enroll,3.00,Invalid date
The Rails Framework (Combined),Instructor-Led,attend,3.00,06/09/2023

